alumno;curso;nombre_cas;anyo;evaluacion;media_nota
5e94f8dd17244a875a0fc1fbc7e24382949f5eeb1342c1b8d4146b2c89aa8d55;2837625929;Primero;2022;EX;0.0
5f7cc3dc7f11a6176382ed4931ae4a0a513b9d88e0a4e92c4bf62f33494486c8;2837629533;Segundo;2022;EX;0.0
5f7cc3dc7f11a6176382ed4931ae4a0a513b9d88e0a4e92c4bf62f33494486c8;2837629540;Primero;2022;EX;0.0
5fa61001542ca91c24a47e8d992fb0391d2cce05f8f3f378be299e94b8e5bd29;2837633097;Segundo;2022;EX;0.0
6037f47f392513b281062ab2d5587ddd757cfdeed8fc284974a7925b6f0c69b6;2837629448;Primero;2022;EX;0.0
60eb3766e942f17fd78ead2702bc9a3babf66dc0e746a167b455298f769d566b;2837633167;Primero;2022;EX;0.0
61c315f099f96af1e0ea1da1a8e4e35ff521a701ddbdee143db9fe0af1333f3a;2837633090;Primero;2022;EX;0.0
61c315f099f96af1e0ea1da1a8e4e35ff521a701ddbdee143db9fe0af1333f3a;2837633097;Segundo;2022;EX;0.0
61fc48f335f9e9c0eb3b9e97c4ba1b3d1d43759126178aae84b7e4a02880f97e;2837632176;Primero;2022;EX;4.0
63de1345a548c9fbc5beb7ee59dfff4de6a3b372ce83db9c666a74ed6875fcc0;2837629448;Primero;2022;EX;0.0
63de1345a548c9fbc5beb7ee59dfff4de6a3b372ce83db9c666a74ed6875fcc0;2837629455;Segundo;2022;EX;0.0
655392c714b2aadd003e8f95a85441f99f7675e53c8829e1466c1def32028ae1;2837632176;Primero;2022;EX;0.0
65c2b3f44a8263533e0a0da448dc504998c232798bba32d1e16f9e1658087578;2837632176;Primero;2022;EX;0.0
65ec285179043e2ad8b1a672bccd678d01ac157e618c6737af90d891ddf0dfd4;2837626486;Primero;2022;EX;0.0
66449f37477fbd50d6c31609113603323d18993323d3f4ed69d7843b8d0421de;2837629448;Primero;2022;EX;0.0
66c6a3be06ea94ac74efa6bee7d2394cfe71ac8c123ede4688aae30505c4e650;2837633032;Primero;2022;EX;5.5
67330b6d7d3d1a243c87c4f26db5293ccacf444218489da5a8f38d0c9c01894e;2837633062;Segundo;2022;EX;5.0
67a7e499ac42375c6c25ed7467921c826f088a7315867eb0961808ca72871717;2837632176;Primero;2022;EX;8.0
681e14d48c3e386c9245faaae7d421f18b422079cc1642d626f6816dfbdf350a;2837629448;Primero;2022;EX;3.0
6949192f23a00cc8b0e95b8eebb9f85b88499aa8b80f26879115512403373824;2837629448;Primero;2022;EX;0.0
697f33b5ed22358175cac0ed152264d736cec9c9cf8216312402ef70adefc0e9;2837633069;Primero;2022;EX;3.0
6a3820de0f54fb8f519990cbbb9fa7e9bcd255328a1d222e6ce31e1a38bc3397;2837633039;Segundo;2022;EX;0.0
